,delta0,delta1,delta2,delta3,delta4,delta5,delta6,delta7
193,1092984.0,3137670.0,511752.0,2534245.0,895095.0,1588872.0,424754.0,866006.0
194,1093037.0,3138842.0,505468.0,2525658.0,899303.0,1591702.0,424793.0,865610.0
195,1094883.0,3126957.0,517231.0,2535517.0,911358.0,1601519.0,425632.0,866237.0
196,1094632.0,3153347.0,516359.0,2535057.0,891984.0,1585737.0,425301.0,865756.0
197,1094505.0,3133310.0,521100.0,2527444.0,905887.0,1601303.0,425632.0,866099.0
198,1094317.0,3125842.0,526443.0,2521389.0,898119.0,1585576.0,424732.0,865659.0
199,1093518.0,3126256.0,519150.0,2544122.0,909741.0,1592654.0,424800.0,865575.0
200,1094339.0,3130406.0,516781.0,2509056.0,902286.0,1583423.0,425665.0,865513.0
201,1094499.0,3123599.0,534409.0,2563032.0,905518.0,1597436.0,426161.0,865973.0
202,1094695.0,3089313.0,499195.0,2518676.0,899998.0,1588757.0,425171.0,865706.0
203,1094448.0,3160197.0,531951.0,2540769.0,904091.0,1593541.0,425199.0,865744.0
204,1094308.0,3119833.0,510488.0,2506884.0,904650.0,1601158.0,425373.0,866138.0
205,1093580.0,3125249.0,487954.0,2516266.0,902549.0,1589465.0,425400.0,866328.0
206,1093362.0,3128490.0,517522.0,2551382.0,910220.0,1595544.0,425234.0,865586.0
207,1094846.0,3144501.0,516682.0,2548422.0,895048.0,1588689.0,425158.0,865451.0
208,1094969.0,3165499.0,512991.0,2548126.0,909077.0,1591052.0,425552.0,866347.0
209,1092984.0,3127128.0,468589.0,2512448.0,899095.0,1585956.0,425074.0,866473.0
210,1094509.0,3089733.0,477311.0,2495091.0,903013.0,1586073.0,425423.0,865503.0
211,1094346.0,3114797.0,483461.0,2519335.0,907440.0,1591595.0,425512.0,865811.0
212,1094541.0,3133360.0,507234.0,2534594.0,906829.0,1588124.0,425612.0,865844.0
213,1094527.0,3137452.0,494179.0,2538157.0,901829.0,1588673.0,425538.0,866320.0
214,1094336.0,3140600.0,531163.0,2521958.0,904909.0,1601017.0,425851.0,865948.0
215,1094699.0,3142813.0,508707.0,2533883.0,899305.0,1588395.0,425948.0,865412.0
216,1094351.0,3138570.0,529035.0,2533745.0,908730.0,1595038.0,425702.0,865845.0
217,1094040.0,3135631.0,524010.0,2506996.0,899259.0,1593826.0,424230.0,865752.0
218,1094238.0,3176042.0,541460.0,2567045.0,906563.0,1592052.0,425424.0,865823.0
219,1094295.0,3150979.0,509341.0,2526628.0,916487.0,1589414.0,425266.0,865613.0
220,1094609.0,3144840.0,475800.0,2513840.0,900960.0,1589446.0,425343.0,866102.0
221,1094421.0,3144733.0,533071.0,2583269.0,909578.0,1596036.0,425054.0,865637.0
222,1093723.0,3111279.0,484980.0,2482891.0,903307.0,1592032.0,425650.0,865397.0
223,1094049.0,3148135.0,516638.0,2580866.0,908002.0,1599835.0,425323.0,866119.0
224,1094580.0,3124189.0,511534.0,2512297.0,895667.0,1587487.0,425667.0,866323.0
225,1094361.0,3126545.0,499798.0,2519624.0,918601.0,1599649.0,425400.0,865872.0
226,1094391.0,3134444.0,524295.0,2537070.0,900551.0,1590505.0,425005.0,865328.0
227,1094392.0,3141604.0,497010.0,2527881.0,914384.0,1596713.0,425209.0,865906.0
